admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode, Total_pop 
Loralai,PK71902,Loralai,PK719,Balochistan,PK7,Pakistan,PK," 244,400 "
Lower Kurram,PK23402,Kurram,PK234,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 136,719 "
Lower Orakzai,PK23703,Orakzai,PK237,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 107,397 "
Mach,PK71102,Kachhi,PK711,Balochistan,PK7,Pakistan,PK," 125,740 "
Mailsi,PK63602,Vehari,PK636,Punjab,PK6,Pakistan,PK," 953,895 "
Makin,PK23803,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 58,700 "
Malakwal,PK62001,Mandi Bahauddin,PK620,Punjab,PK6,Pakistan,PK," 371,869 "
Malir,PK80701,Karachi City,PK807,Sindh,PK8,Pakistan,PK," 2,008,901 "
Mamund,PK23204,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 311,873 "
Mand,PK71205,Kech,PK712,Balochistan,PK7,Pakistan,PK," 50,815 "
Mandi Bahauddin,PK62002,Mandi Bahauddin,PK620,Punjab,PK6,Pakistan,PK," 668,007 "
Manjhand,PK80604,Jamshoro,PK806,Sindh,PK8,Pakistan,PK," 140,840 "
Mankera,PK60404,Bhakkar,PK604,Punjab,PK6,Pakistan,PK," 257,100 "
Mansehra,PK21602,Mansehra,PK216,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 1,017,643 "
Mardan,PK21702,Mardan,PK217,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 1,403,394 "
Martung,PK22004,Shangla,PK220,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 36,301 "
Mashkai,PK70103,Awaran,PK701,Balochistan,PK7,Pakistan,PK," 32,897 "
Mashkhel,PK72902,Washuk,PK729,Balochistan,PK7,Pakistan,PK," 38,657 "
Mastuj,PK20602,Chitral,PK206,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 169,240 "
Mastung,PK72002,Mastung,PK720,Balochistan,PK7,Pakistan,PK," 201,693 "
Matiari,PK81102,Matiari,PK811,Sindh,PK8,Pakistan,PK," 340,677 "
Matli,PK80102,Badin,PK801,Sindh,PK8,Pakistan,PK," 443,412 "
Matta Khararai,PK22208,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 232,998 "
Matta Sebujni,PK22209,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 232,998 "
Mawand,PK71703,Kohlu,PK717,Balochistan,PK7,Pakistan,PK," 41,626 "
Mehar,PK80204,Dadu,PK802,Sindh,PK8,Pakistan,PK," 460,679 "
Mian Channu,PK61504,Khanewal,PK615,Punjab,PK6,Pakistan,PK," 761,971 "
Mianwali,PK62102,Mianwali,PK621,Punjab,PK6,Pakistan,PK," 767,130 "
Minchinabad,PK60205,Bahawalnagar,PK602,Punjab,PK6,Pakistan,PK," 526,428 "
Mir Ali,PK23605,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 185,525 "
Miran Shah,PK23606,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 100,680 "
